Opened file: D:\pol\Fedorchak_seedwords.txt
Enter the graph file name!
Opened file: D:\pol\karav1.txt
# of positive seed words: 537 
# of negative seed words: 130 
# of neutral seed words: 123
авансувати[+:1 -:0 0:0 I:5]
давати_аванс[+:1 -:0 0:0 I:6]
платити_наперед[+:1 -:0 0:0 I:6]
фінансувати[+:1 -:0 0:0 I:4]
авантура[+:2 -:2 0:0 I:2]
афера[+:2 -:0 0:0 I:2]
дурисвітство[+:2 -:0 0:0 I:3]
пройдисвітство[+:0 -:0 0:0 I:3]
оборудка[+:2 -:0 0:0 I:3]
шахрайство[+:3 -:0 0:0 I:3]
ошуканство[+:1 -:0 0:0 I:3]
обман[+:4 -:0 0:0 I:3]
пригода[+:0 -:7 0:0 I:2]
халепа[+:0 -:5 0:0 I:2]
ризик[+:0 -:1 0:0 I:2]
небезпека[+:1 -:1 0:0 I:3]
авантурний[+:1 -:0 0:0 I:3]
ризикований[+:3 -:0 0:0 I:3]
небезпечний[+:3 -:0 0:0 I:2]
пригодницький[+:2 -:0 0:0 I:4]
авантурницький[+:1 -:0 0:0 I:4]
пройдисвітський[+:1 -:0 0:0 I:4]
авантурник[+:0 -:1 0:0 I:3]
авантурист[+:1 -:1 0:0 I:4]
аферист[+:2 -:1 0:0 I:4]
пройдисвіт[+:3 -:1 0:0 I:3]
дурисвіт[+:2 -:1 0:0 I:4]
шахрай[+:4 -:1 0:0 I:4]
ошуканець[+:4 -:1 0:0 I:4]
ризикант[+:0 -:2 0:0 I:4]
відчайдух[+:2 -:3 0:0 I:3]
урвиголова[+:0 -:4 0:0 I:2]
шукач_пригод[+:0 -:1 0:0 I:4]
знайдибіда[+:0 -:1 0:0 I:4]
аварія[+:0 -:1 0:0 I:1]
випадок[+:1 -:2 0:0 I:1]
інцидент[+:0 -:2 0:0 I:1]
катастрофа[+:0 -:1 0:0 I:2]
невдача[+:0 -:1 0:0 I:2]
нещастя[+:0 -:4 0:0 I:2]
прикра_пригода[+:0 -:1 0:0 I:2]
біда[+:0 -:2 0:0 I:1]
лихо[+:0 -:3 0:0 I:2]
шкода[+:0 -:1 0:0 I:0]
пошкодження[+:0 -:2 0:0 I:1]
зіпсуття[+:0 -:1 0:0 I:2]
несправність[+:0 -:2 0:0 I:2]
неполадки[+:0 -:1 0:0 I:2]
авдиторія[+:3 -:0 0:0 I:2]
заля[+:2 -:0 0:0 I:2]
кляса[+:6 -:0 0:0 I:2]
кімната[+:6 -:0 0:0 I:3]
слухачі[+:3 -:0 0:0 I:2]
слухацтво[+:3 -:0 0:0 I:2]
глядачі[+:3 -:0 0:0 I:2]
глядацтво[+:3 -:0 0:0 I:2]
авдієнція[+:2 -:1 0:0 I:2]
приняття[+:3 -:0 0:0 I:3]
прийом[+:1 -:0 0:0 I:2]
розмова[+:3 -:0 0:0 I:1]
зустріч[+:0 -:1 0:0 I:2]
авеню[+:1 -:0 0:0 I:4]
вулиця[+:3 -:0 0:0 I:3]
авжеж[+:0 -:0 0:1 I:1]
розуміється[+:0 -:0 0:2 I:2]
нема_слова[+:0 -:0 0:2 I:2]
годі_й_казати[+:0 -:0 0:1 I:2]
а_так[+:0 -:0 0:1 I:2]
що_правда[+:0 -:0 0:1 I:2]
то_правда[+:0 -:0 0:1 I:2]
так[+:0 -:0 0:1 I:0]
еге[+:0 -:0 0:2 I:1]
ага[+:0 -:0 0:1 I:2]
атож[+:0 -:0 0:2 I:1]
якраз[+:2 -:0 0:5 I:1]
отож[+:0 -:0 0:5 I:1]
авіоносець[+:0 -:0 0:0 I:-1]
авіоматка[+:0 -:0 0:0 I:-1]
літаконосець[+:0 -:0 0:0 I:-1]
авіятор[+:2 -:0 0:0 I:3]
повітроплавець[+:1 -:0 0:0 I:4]
аеронавт[+:1 -:0 0:0 I:4]
пілот[+:2 -:0 0:0 I:3]
летун[+:1 -:0 0:0 I:4]
літун[+:2 -:0 0:0 I:2]
льотчик[+:2 -:0 0:0 I:3]
ас[+:2 -:0 0:0 I:3]
авіяція[+:0 -:0 0:1 I:4]
повітроплавання[+:0 -:0 0:1 I:5]
повітроплавство[+:0 -:0 0:1 I:5]
аеронавтика[+:1 -:0 0:1 I:4]
летунство[+:0 -:0 0:1 I:5]
повітряні_сили[+:0 -:0 0:1 I:5]
повітряний_флот[+:0 -:0 0:1 I:5]
авкціон[+:1 -:0 0:0 I:4]
торг[+:3 -:0 0:1 I:3]
торги[+:3 -:0 0:0 I:4]
випродаж[+:2 -:0 0:0 I:5]
продаж_з_торгів[+:1 -:0 0:0 I:5]
ліцитація[+:1 -:0 0:0 I:5]
аврал[+:0 -:1 0:0 I:4]
тривога[+:1 -:4 0:0 I:3]
авреоля[+:2 -:0 0:0 I:3]
вінець[+:3 -:0 0:0 I:2]
автентичний[+:3 -:0 0:0 I:3]
справжній[+:3 -:3 0:0 I:2]
правдивий[+:4 -:1 0:0 I:2]
справдешній[+:1 -:0 0:0 I:2]
непідробний[+:4 -:0 0:0 I:2]
оригінальний[+:3 -:0 0:0 I:4]
першоджерельний[+:1 -:0 0:0 I:4]
автовідповідач[+:0 -:0 0:0 I:-1]
автосекрета[+:0 -:0 0:0 I:-1]
автодафе[+:0 -:1 0:0 I:3]
живоспалення[+:0 -:1 0:0 I:4]
смерть_на_вогнищі[+:0 -:1 0:0 I:4]
страта[+:0 -:2 0:0 I:2]
вирок_смерти[+:0 -:1 0:0 I:4]
автокефальний[+:0 -:0 0:1 I:1]
це[+:0 -:0 0:1 I:0]
самокерований[+:0 -:0 0:1 I:2]
самостійний[+:0 -:0 0:2 I:2]
незалежний[+:0 -:0 0:2 I:2]
непідлеглий[+:0 -:0 0:3 I:2]
непідпорядкований[+:0 -:0 0:2 I:2]
автомат[+:1 -:0 0:0 I:4]
автоматичний_механізм[+:1 -:0 0:0 I:5]
саморух[+:1 -:0 0:0 I:5]
робот[+:2 -:0 0:0 I:4]
істукан[+:2 -:0 0:0 I:4]
пістоль-кулемет[+:1 -:0 0:0 I:5]
автоматичний[+:0 -:0 0:0 I:4]
машинальний[+:1 -:0 0:0 I:4]
несвідомий[+:0 -:0 0:0 I:4]
бездушний[+:1 -:1 0:0 I:3]
саморушний[+:0 -:0 0:0 I:5]
